Gene stable ID	Chromosome/scaffold name	Gene name	Gene type	Gene start (bp)	Gene end (bp)
ENSG00000229447	1	AC114495.2	processed_pseudogene	31263245	31263681
ENSG00000159712	9	ANKRD18CP	unprocessed_pseudogene	97156570	97221235
ENSG00000218305	7	CDC14C	protein_coding	48919765	48927454
ENSG00000286144	22	Z97056.2	lincRNA	38416565	38423933
ENSG00000234686	7	AC091730.1	lincRNA	49230137	49254816
ENSG00000283285	19	AC011460.1	unprocessed_pseudogene	51914675	51917703
ENSG00000283384	13	AL138694.1	lincRNA	108335354	108448316
ENSG00000273872	21	SLC25A15P4	unprocessed_pseudogene	10612455	10613379
ENSG00000272192	8	AC100812.1	lincRNA	65842752	65843331
ENSG00000226153	X	Z93242.1	processed_pseudogene	17705339	17705691
ENSG00000270763	7	DDX43P2	processed_pseudogene	49258493	49259846
ENSG00000279104	7	AC093775.1	TEC	49760897	49762764
ENSG00000230020	X	NHS-AS1	antisense	17552349	17557387
ENSG00000276556	21	AF254982.1	unprocessed_pseudogene	10640028	10640338
ENSG00000237662	20	SOCS2P1	processed_pseudogene	33187391	33188292
ENSG00000214642	6	DEFB113	protein_coding	49968677	49969625
ENSG00000119660	14	DPPA5P4	processed_pseudogene	75292131	75292495
ENSG00000241669	3	LINC01327	lincRNA	167392796	167408519
ENSG00000277282	21	IGHV1OR21-1	IG_V_gene	10649400	10649835
ENSG00000228620	22	Z97056.1	antisense	38424288	38427336
ENSG00000105707	19	HPN	protein_coding	35040506	35066571
ENSG00000229306	21	AP001464.1	lincRNA	12999676	13016692
ENSG00000183566	20	BPIFA4P	transcribed_unprocessed_pseudogene	33193585	33210462
ENSG00000136478	17	TEX2	protein_coding	64147227	64263301
ENSG00000168135	22	KCNJ4	protein_coding	38426327	38455199
ENSG00000248988	4	AC093700.1	processed_pseudogene	159007119	159007835
ENSG00000052795	4	FNIP2	protein_coding	158769026	158908050
ENSG00000232087	13	HCFC2P1	processed_pseudogene	108480226	108481817
ENSG00000224309	21	ANKRD30BP2	transcribed_unprocessed_pseudogene	13038160	13067033
ENSG00000156398	10	SFXN2	protein_coding	102714538	102743492
ENSG00000176024	19	ZNF613	protein_coding	51927147	51948759
ENSG00000280938	CHR_HSCHR17_2_CTG2	TRARG1	polymorphic_pseudogene	1201029	1203765
ENSG00000278845	17	MRPL45	protein_coding	38297023	38323217
ENSG00000124782	6	RREB1	protein_coding	7107597	7251980
ENSG00000232021	4	LEF1-AS1	processed_transcript	108167525	108256836
ENSG00000105671	19	DDX49	protein_coding	18919705	18929189
ENSG00000232598	6	AL122034.1	lincRNA	36940071	36944675
ENSG00000175764	9	TTLL11	protein_coding	121821928	122093606
ENSG00000249669	5	CARMN	lincRNA	149406689	149432835
ENSG00000224876	20	AL121901.1	antisense	33214920	33217067
ENSG00000230433	6	AL031770.1	antisense	524171	525581
ENSG00000140464	15	PML	protein_coding	73994673	74047812
ENSG00000273505	CHR_HSCHR12_3_CTG2	TAS2R42	protein_coding	11182250	11183194
ENSG00000100201	22	DDX17	protein_coding	38483438	38507660
ENSG00000164123	4	C4orf45	protein_coding	158893134	159038760
ENSG00000149043	11	SYT8	protein_coding	1828307	1837521
ENSG00000198060	10	MARCH5	protein_coding	92291167	92353964
ENSG00000167470	19	MIDN	protein_coding	1248553	1259140
ENSG00000267379	19	AC008569.1	antisense	14402717	14408723
ENSG00000269235	19	ZNF350-AS1	antisense	51949134	51981367
ENSG00000253564	8	AC100823.2	processed_pseudogene	73215929	73216627
ENSG00000275056	16	AC020663.3	sense_intronic	4839244	4840334
ENSG00000256683	19	ZNF350	protein_coding	51964340	51986856
ENSG00000123146	19	ADGRE5	protein_coding	14380501	14408725
ENSG00000234931	10	MARK2P15	processed_pseudogene	83311628	83314475
ENSG00000249367	4	FABP5P12	processed_pseudogene	159026139	159026527
ENSG00000274443	8	C8orf89	protein_coding	73241329	73259502
ENSG00000185527	17	AC139530.1	protein_coding	81650459	81663112
ENSG00000232563	3	CRB3P1	processed_pseudogene	1394173	1394448
ENSG00000134115	3	CNTN6	protein_coding	1092658	1404217
ENSG00000085644	16	ZNF213	protein_coding	3129777	3142805
ENSG00000237548	9	TTLL11-IT1	lincRNA	121884636	121963719
ENSG00000253659	8	AC138646.1	lincRNA	79297717	79314471
ENSG00000277399	17	GPR179	protein_coding	38325530	38343847
ENSG00000225408	9	AL136980.1	antisense	5719021	5720244
ENSG00000107036	9	RIC1	protein_coding	5629025	5776557
ENSG00000275871	5	AC131025.2	lincRNA	149425771	149428289
ENSG00000283758	19	PMIS2	protein_coding	35586161	35587296
ENSG00000274474	CHR_HSCHR17_2_CTG2	YWHAE	protein_coding	1247054	1303157
ENSG00000242364	3	AC108725.1	processed_pseudogene	73648399	73648807
ENSG00000224910	19	LINC01766	lincRNA	35597907	35601501
ENSG00000251212	4	MTND5P4	processed_pseudogene	17061878	17062165
ENSG00000249998	4	AC106894.1	lincRNA	16973275	17073903
ENSG00000242741	3	LINC02005	lincRNA	73808601	73902866
ENSG00000184276	11	DEFB108B	protein_coding	71833200	71837710
ENSG00000254213	8	PRXL2AP2	processed_pseudogene	73277364	73278046
ENSG00000267626	19	AC002115.1	lincRNA	35608285	35612666
ENSG00000215068	5	AC025171.2	antisense	43041575	43045390
ENSG00000257524	9	AL157935.2	protein_coding	127867850	127906022
ENSG00000219163	6	HMGB1P20	processed_pseudogene	53235621	53236297
ENSG00000123933	4	MXD4	protein_coding	2247432	2262109
ENSG00000066651	6	TRMT11	protein_coding	125986479	126203817
ENSG00000278487	5	AC106800.4	processed_pseudogene	43143362	43143514
ENSG00000131059	20	BPIFA3	protein_coding	33217310	33227758
ENSG00000177721	5	ANXA2R	protein_coding	43039081	43043170
ENSG00000232949	7	AC002480.2	antisense	22589705	22591622
ENSG00000136244	7	IL6	protein_coding	22725884	22732002
ENSG00000251131	5	AC025171.3	antisense	43018429	43024247
ENSG00000250548	14	LINC01303	lincRNA	61556313	61570653
ENSG00000227392	19	HPN-AS1	antisense	35059059	35106304
ENSG00000258989	14	AL355916.3	protein_coding	61529128	61657964
ENSG00000255206	8	AC011853.2	antisense	68082204	68095081
ENSG00000046889	8	PREX2	protein_coding	67952046	68237032
ENSG00000247287	14	AL359220.1	antisense	61298164	61322818
ENSG00000179066	19	AC020907.1	lincRNA	35090930	35113664
ENSG00000258926	14	AL355916.2	antisense	61537508	61545287
ENSG00000136146	13	MED4	protein_coding	48053323	48095131
ENSG00000182107	14	TMEM30B	protein_coding	61277370	61281840
ENSG00000176945	3	MUC20	protein_coding	195720884	195741123
ENSG00000131016	6	AKAP12	protein_coding	151239967	151358559
ENSG00000267433	19	AC008798.1	unprocessed_pseudogene	29901696	29901869
ENSG00000278895	19	AC008507.3	TEC	29915862	29917830
ENSG00000089356	19	FXYD3	protein_coding	35115879	35124324
ENSG00000267258	19	PPIAP58	processed_pseudogene	29921182	29921653
ENSG00000146250	6	PRSS35	protein_coding	83512534	83525704
ENSG00000263072	16	ZNF213-AS1	antisense	3110460	3134882
ENSG00000027075	14	PRKCH	protein_coding	61187559	61550976
ENSG00000248990	11	AC100773.1	lincRNA	28679183	28683469
ENSG00000253391	8	AC100870.1	processed_pseudogene	79520145	79520649
ENSG00000272882	11	OR2BH1P	unprocessed_pseudogene	28986635	28987498
ENSG00000240540	8	RPL3P9	processed_pseudogene	79571153	79572335
ENSG00000226954	22	AL023802.1	lincRNA	49718053	49724506
ENSG00000249867	11	AC090833.1	lincRNA	28702615	29063821
ENSG00000233033	X	CASK-AS1	antisense	41520036	41522336
ENSG00000254526	11	AC090791.1	lincRNA	29159956	29266734
ENSG00000250822	5	LINC02111	lincRNA	17378906	17387310
ENSG00000229822	X	AL353691.1	processed_pseudogene	41748222	41748608
ENSG00000239454	3	LINC02047	lincRNA	73999805	74005609
ENSG00000248455	5	LINC02217	lincRNA	17404019	17441694
ENSG00000164530	6	PI16	protein_coding	36948263	36964837
ENSG00000237875	X	AL353691.2	processed_pseudogene	41790192	41790250
ENSG00000217624	X	AL627402.1	processed_pseudogene	41675760	41676494
ENSG00000042813	7	ZPBP	protein_coding	49850421	50121329
ENSG00000223738	3	AC016930.1	processed_pseudogene	74101349	74103553
ENSG00000130517	19	PGPEP1	protein_coding	18340598	18369950
ENSG00000213452	3	AKR1B1P2	processed_pseudogene	74135959	74136892
ENSG00000171657	X	GPR82	protein_coding	41724181	41730130
ENSG00000249662	5	LINC02218	protein_coding	17444010	17486829
ENSG00000239801	3	DENND6A-AS1	antisense	57628810	57654918
ENSG00000174839	3	DENND6A	protein_coding	57625454	57693077
ENSG00000271559	13	AL138966.1	processed_pseudogene	26229332	26229644
ENSG00000255157	11	DEFB130C	transcribed_unprocessed_pseudogene	71856277	71863658
ENSG00000268799	5	AC106774.4	protein_coding	17491325	17491769
ENSG00000206404	CHR_HSCHR6_MHC_QBL_CTG1	LY6G5C	protein_coding	31666915	31674267
ENSG00000250667	5	AC106774.3	processed_pseudogene	17495658	17495826
ENSG00000227882	13	THAP12P6	processed_pseudogene	26234213	26237129
ENSG00000171659	X	GPR34	protein_coding	41688973	41697275
ENSG00000274892	19	AC011487.4	unprocessed_pseudogene	53512092	53512616
ENSG00000284373	5	TAF11L2	protein_coding	17498231	17498827
ENSG00000213777	19	AC011487.1	transcribed_processed_pseudogene	53503392	53512687
ENSG00000248205	5	AC106774.1	processed_pseudogene	17502043	17502363
ENSG00000215837	3	SDHAP2	transcribed_unprocessed_pseudogene	195658096	195685904
ENSG00000179428	7	AC073072.1	antisense	22725395	22727620
ENSG00000281036	CHR_HSCHR5_4_CTG1_1	AC109471.2	lincRNA	125325350	125367734
ENSG00000283426	3	SMBD1P	transcribed_unitary_pseudogene	195701618	195711643
ENSG00000225336	20	HMGB3P1	processed_pseudogene	34833575	34834462
ENSG00000105889	7	STEAP1B	protein_coding	22419444	22727613
ENSG00000281609	CHR_HSCHR5_4_CTG1_1	AC109471.3	lincRNA	125376828	125377439
ENSG00000277177	CHR_HSCHR19LRC_PGF2_CTG3_1	LILRA6	protein_coding	54216894	54243483
ENSG00000228286	11	AP000593.2	processed_pseudogene	72249856	72251288
ENSG00000146112	6	PPP1R18	protein_coding	30676389	30687895
ENSG00000249620	5	AC106774.2	processed_pseudogene	17511833	17512238
ENSG00000198326	20	TMEM239	protein_coding	2816302	2820284
ENSG00000242086	3	MUC20-OT1	lincRNA	195658062	195739964
ENSG00000284439	5	TAF11L3	protein_coding	17518367	17518963
ENSG00000280688	CHR_HSCHR5_5_CTG1	CEP72	protein_coding	614020	626253
ENSG00000241690	20	AL035460.1	protein_coding	2814968	2818066
ENSG00000284283	5	TAF11L4	protein_coding	17521801	17522397
ENSG00000258713	20	C20orf141	protein_coding	2814987	2815833
ENSG00000284234	5	TAF11L5	protein_coding	17525235	17525831
ENSG00000280978	CHR_HSCHR5_5_CTG1	AC106772.4	antisense	604294	613884
ENSG00000101670	18	LIPG	protein_coding	49560699	49599185
ENSG00000284042	5	TAF11L6	protein_coding	17528669	17529265
ENSG00000268193	19	AC002985.1	protein_coding	18907013	18934397
ENSG00000280666	CHR_HSCHR5_5_CTG1	AC106772.3	antisense	524705	526594
ENSG00000284465	5	TAF11L7	protein_coding	17585162	17585758
ENSG00000250088	5	AC233724.7	processed_pseudogene	17587290	17587523
ENSG00000188315	3	C3orf62	protein_coding	49268596	49277232
ENSG00000281861	CHR_HSCHR5_5_CTG1	SLC9A3	protein_coding	524112	524332
ENSG00000113805	3	CNTN3	protein_coding	74262568	74521140
ENSG00000119421	9	NDUFA8	protein_coding	122144058	122159779
ENSG00000114204	3	SERPINI2	protein_coding	167441789	167479004
ENSG00000269019	19	HOMER3-AS1	antisense	18940322	18946831
ENSG00000283967	5	TAF11L8	protein_coding	17590364	17590960
ENSG00000283988	5	TAF11L9	protein_coding	17593798	17594394
ENSG00000105669	19	COPE	protein_coding	18899514	18919387
ENSG00000138231	3	DBR1	protein_coding	138161012	138174949
ENSG00000100196	22	KDELR3	protein_coding	38468078	38483447
ENSG00000232759	7	AC002480.1	antisense	22563337	22573996
ENSG00000259772	15	AC012236.1	lincRNA	31221999	31230838
ENSG00000255450	11	AC110056.1	processed_pseudogene	29275655	29276565
ENSG00000233476	7	EEF1A1P6	processed_pseudogene	22510616	22511999
ENSG00000147044	X	CASK	protein_coding	41514934	41923645
ENSG00000254530	11	AC090124.1	lincRNA	29335878	29594295
ENSG00000233945	10	LINC02650	lincRNA	83672406	83675439
ENSG00000228005	7	AC020743.1	antisense	50141540	50142823
ENSG00000255281	11	AC090124.3	processed_pseudogene	29391525	29393844
ENSG00000188730	7	VWC2	protein_coding	49773638	49921950
ENSG00000255029	11	AC110058.1	lincRNA	29519076	29552639
ENSG00000229111	13	MED4-AS1	antisense	48077137	48079991
ENSG00000259448	15	LINC02352	lincRNA	31216020	31224445
ENSG00000255227	11	AC090124.2	lincRNA	29445487	29457393
ENSG00000125730	19	C3	protein_coding	6677704	6730562
ENSG00000284356	5	TAF11L10	protein_coding	17597232	17597828
ENSG00000248422	5	AC233724.3	processed_pseudogene	17598432	17598559
ENSG00000249282	5	AC233724.6	processed_pseudogene	17601882	17602134
ENSG00000110700	11	RPS13	protein_coding	17074388	17077715
ENSG00000281690	CHR_HSCHR5_6_CTG1	ADAMTS12	protein_coding	33842143	33894178
ENSG00000164500	7	SPATA48	protein_coding	50096036	50159830
ENSG00000283740	5	TAF11L11	protein_coding	17604177	17605377
ENSG00000105176	19	URI1	protein_coding	29923644	30016612
ENSG00000119328	9	FAM206A	protein_coding	108934400	108950744
ENSG00000249156	5	TAF11L12	protein_coding	17610496	17611583
ENSG00000285864	11	AP000593.4	lincRNA	72261731	72290688
ENSG00000271296	5	AC233724.11	processed_pseudogene	17614781	17615111
ENSG00000279246	11	AP003108.3	TEC	61352244	61354477
ENSG00000119535	1	CSF3R	protein_coding	36466043	36483278
ENSG00000254051	8	AC011853.1	processed_pseudogene	68176768	68177221
ENSG00000162129	11	CLPB	protein_coding	72285495	72434680
ENSG00000223893	7	GNL2P1	processed_pseudogene	49942251	49944440
ENSG00000259687	14	LINC01220	lincRNA	75294404	75296638
ENSG00000162144	11	CYB561A3	protein_coding	61348745	61362299
ENSG00000231370	CHR_HSCHR6_MHC_DBB_CTG1	PRRC2A	protein_coding	31602891	31619942
ENSG00000276485	CHR_HSCHR15_1_CTG8	AC138749.7	unprocessed_pseudogene	28565258	28572999
ENSG00000012660	6	ELOVL5	protein_coding	53267398	53349179
ENSG00000282531	CHR_HSCHR15_1_CTG8	AC138749.10	processed_pseudogene	28576608	28576845
ENSG00000249115	19	HAUS5	protein_coding	35612735	35625355
ENSG00000282090	CHR_HSCHR15_1_CTG8	HERC2P11	unprocessed_pseudogene	28586639	28591020
ENSG00000241863	CHR_HSCHR6_MHC_COX_CTG1	RPP21	protein_coding	30319108	30336684
ENSG00000270226	22	AC006548.2	processed_pseudogene	17012404	17012932
ENSG00000281977	CHR_HSCHR12_3_CTG2	AC244131.3	processed_pseudogene	11192332	11193253
ENSG00000122257	16	RBBP6	protein_coding	24537693	24572863
ENSG00000282539	CHR_HSCHR12_3_CTG2	AC244131.4	lincRNA	11208476	11247646
ENSG00000119326	9	CTNNAL1	protein_coding	108942569	109013522
ENSG00000233089	CHR_HSCHR6_MHC_APD_CTG1	PSMB8-AS1	processed_transcript	32883358	32885767
ENSG00000234539	CHR_HSCHR6_MHC_COX_CTG1	ATF6B	protein_coding	32063716	32076703
ENSG00000071655	19	MBD3	protein_coding	1573596	1592865
ENSG00000282128	CHR_HSCHR17_2_CTG4	AC207965.1	lincRNA	70312831	70374969
ENSG00000273576	17	AC009283.1	lincRNA	39566915	39567559
ENSG00000230669	CHR_HSCHR6_MHC_APD_CTG1	PSMB8	protein_coding	32879989	32883975
ENSG00000282637	CHR_HSCHR17_2_CTG5	MAP3K14	processed_transcript	45316960	45317040
ENSG00000168122	21	ZNF355P	unprocessed_pseudogene	13095305	13113790
ENSG00000171532	17	NEUROD2	protein_coding	39603536	39609777
ENSG00000214727	22	RPL5P35	unprocessed_pseudogene	49757627	49758980
ENSG00000237202	21	AJ239321.1	processed_pseudogene	13120244	13120807
ENSG00000277484	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	KIR2DL3	protein_coding	54738471	54753005
ENSG00000282563	CHR_HSCHR17_2_CTG5	AC003070.5	lincRNA	45371402	45372057
ENSG00000260657	15	AC107871.2	lincRNA	68267792	68277994
ENSG00000174776	3	WDR49	protein_coding	167478684	167653983
ENSG00000169018	15	FEM1B	protein_coding	68277745	68295862
ENSG00000130513	19	GDF15	protein_coding	18374731	18389176
ENSG00000100425	22	BRD1	protein_coding	49773283	49827512
ENSG00000250819	4	LINC02493	lincRNA	17171757	17186059
ENSG00000266959	19	AC005786.1	processed_pseudogene	3568120	3568273
ENSG00000279590	19	AC005786.4	TEC	3567278	3567959
ENSG00000267436	19	AC005786.3	antisense	3544199	3557569
ENSG00000215278	4	RPS7P6	processed_pseudogene	17427696	17428274
ENSG00000232774	14	AL355916.1	lincRNA	61570540	61658696
ENSG00000242100	19	RPL9P32	processed_pseudogene	29956369	29956988
ENSG00000161091	19	MFSD12	protein_coding	3538261	3574290
ENSG00000214546	17	AC087491.1	lincRNA	39619613	39622513
ENSG00000156599	11	ZDHHC5	protein_coding	57667747	57701182
ENSG00000149809	11	TM7SF2	protein_coding	65111845	65116384
ENSG00000280108	21	AJ239318.1	lincRNA	13305152	13314944
ENSG00000228140	1	AL031283.1	lincRNA	15402979	15409433
ENSG00000185681	9	MORN5	protein_coding	122159908	122200088
ENSG00000217527	6	RPS16P5	transcribed_processed_pseudogene	53336943	53337346
ENSG00000185390	21	FGF7P2	unprocessed_pseudogene	13349265	13350648
ENSG00000282897	9	AL162727.3	TEC	113614589	113617375
ENSG00000198585	3	NUDT16	protein_coding	131381671	131388830
ENSG00000233817	9	AL162727.1	lincRNA	113619228	113622634
ENSG00000183396	3	TMEM89	protein_coding	48620759	48621855
ENSG00000277753	CHR_HSCHR3_5_CTG3	MUC20	protein_coding	195719644	195739354
ENSG00000227482	9	AL157702.2	lincRNA	113650956	113682855
ENSG00000214669	9	AL157702.1	processed_pseudogene	113758994	113759419
ENSG00000158125	2	XDH	protein_coding	31334321	31414742
ENSG00000175302	21	ANKRD30BP1	unprocessed_pseudogene	13384249	13427773
ENSG00000261167	3	AC107027.3	sense_overlapping	131455126	131458598
ENSG00000230061	21	TRPM2-AS	antisense	44414588	44425272
ENSG00000151914	6	DST	protein_coding	56457987	56954649
ENSG00000236688	CHR_HSCHR6_MHC_QBL_CTG1	HLA-N	unprocessed_pseudogene	30340905	30341039
ENSG00000227100	CHR_HSCHR6_MHC_QBL_CTG1	AL773535.1	processed_pseudogene	30348767	30349400
ENSG00000232905	9	AL162393.1	processed_pseudogene	113850687	113851632
ENSG00000188536	16	HBA2	protein_coding	172876	173710
ENSG00000236122	CHR_HSCHR6_MHC_QBL_CTG1	UBQLN1P1	processed_pseudogene	30352597	30353765
ENSG00000278619	17	MRM1	protein_coding	36601583	36608964
ENSG00000237034	CHR_HSCHR6_MHC_QBL_CTG1	MICC	unprocessed_pseudogene	30404207	30408812
ENSG00000234642	CHR_HSCHR6_MHC_APD_CTG1	PPP1R2P1	transcribed_processed_pseudogene	32918409	32919085
ENSG00000104435	8	STMN2	protein_coding	79610814	79666175
ENSG00000242711	CHR_HSCHR6_MHC_APD_CTG1	PSMB9	protein_coding	32883408	32918836
ENSG00000224994	CHR_HSCHR6_MHC_COX_CTG1	TRIM39	protein_coding	30316275	30333529
ENSG00000229737	CHR_HSCHR6_MHC_QBL_CTG1	TMEM183AP1	processed_pseudogene	29577378	29577667
ENSG00000235630	CHR_HSCHR6_MHC_QBL_CTG1	OR2H5P	unprocessed_pseudogene	29573828	29574755
ENSG00000206513	CHR_HSCHR6_MHC_QBL_CTG1	UBD	protein_coding	29555518	29559832
ENSG00000281603	CHR_HSCHR3_5_CTG3	MUC20-OT1	lincRNA	195658062	195776742
ENSG00000206519	CHR_HSCHR6_MHC_QBL_CTG1	RPL13AP	processed_pseudogene	29582427	29582944
ENSG00000142634	1	EFHD2	protein_coding	15409888	15430339
ENSG00000241022	3	NIPA2P2	processed_pseudogene	75084155	75085237
ENSG00000206511	CHR_HSCHR6_MHC_QBL_CTG1	GABBR1	protein_coding	29555518	29633080
ENSG00000213300	3	HNRNPA3P6	processed_pseudogene	75214631	75215636
ENSG00000229349	6	ACTG1P9	processed_pseudogene	46204729	46207386
ENSG00000163689	3	C3orf67	protein_coding	58717365	59050084
ENSG00000278313	15	AC100827.5	unprocessed_pseudogene	72604399	72605008
ENSG00000260672	15	AC100827.4	lincRNA	72615810	72618250
ENSG00000161682	17	FAM171A2	protein_coding	44353215	44363875
ENSG00000260144	15	AC100827.2	unprocessed_pseudogene	72605183	72612326
ENSG00000259783	15	LINC02259	lincRNA	72608481	72636919
ENSG00000223775	CHR_HSCHR6_MHC_SSTO_CTG1	MRPS18B	protein_coding	30609932	30618618
ENSG00000157657	9	ZNF618	protein_coding	113876282	114056591
ENSG00000233076	CHR_HSCHR6_MHC_MANN_CTG1	DDAH2	protein_coding	31766492	31770071
ENSG00000274696	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	KIR3DL3	protein_coding	54724453	54767462
ENSG00000226541	6	AL359633.1	processed_pseudogene	46438310	46438619
ENSG00000136295	7	TTYH3	protein_coding	2631986	2664802
ENSG00000172348	6	RCAN2	protein_coding	46220736	46491972
ENSG00000236867	22	Z98885.1	processed_pseudogene	49817248	49817712
ENSG00000233323	CHR_HSCHR6_MHC_COX_CTG1	TNXB	protein_coding	31989596	32066062
ENSG00000279345	22	Z98885.3	antisense	49805452	49807208
ENSG00000169976	6	SF3B5	protein_coding	144094881	144095573
ENSG00000285526	19	AC020907.6	protein_coding	35106510	35124297
ENSG00000279009	19	AC005943.2	TEC	1576939	1577086
ENSG00000136158	13	SPRY2	protein_coding	80335976	80341126
ENSG00000267059	19	AC005943.1	protein_coding	1578339	1605445
ENSG00000218965	6	NACAP7	processed_pseudogene	89422099	89423048
ENSG00000219297	6	MRPL42P3	processed_pseudogene	144136450	144136775
ENSG00000127540	19	UQCR11	protein_coding	1597169	1605473
ENSG00000227816	CHR_HSCHR6_MHC_APD_CTG1	TAP1	protein_coding	32884481	32893250
ENSG00000183397	19	C19orf71	protein_coding	3539154	3544030
ENSG00000273850	CHR_HSCHRX_2_CTG3	PPP2R3B	protein_coding	333240	385935
ENSG00000227862	13	HNRNPA1P31	processed_pseudogene	80619098	80620067
ENSG00000228868	3	MYLKP1	unprocessed_pseudogene	75328549	75339071
ENSG00000243674	3	OR7E66P	unprocessed_pseudogene	75347833	75348787
ENSG00000259910	16	AC120498.1	antisense	1159548	1160176
ENSG00000179799	3	OR7E22P	transcribed_unprocessed_pseudogene	75356437	75362268
ENSG00000197253	16	TPSB2	protein_coding	1227272	1230184
ENSG00000137078	9	SIT1	protein_coding	35649295	35650950
ENSG00000103657	15	HERC1	protein_coding	63608618	63833948
ENSG00000105325	19	FZR1	protein_coding	3506273	3538330
ENSG00000232709	10	MARK2P9	processed_pseudogene	92418667	92420875
ENSG00000277804	CHR_HSCHR19_5_CTG2	PRTN3	protein_coding	840960	848175
ENSG00000274851	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	KIR2DP1	unprocessed_pseudogene	54754976	54767325
ENSG00000246174	11	KCTD21-AS1	antisense	78139771	78175323
ENSG00000276400	22	VN1R9P	processed_pseudogene	17021398	17022570
ENSG00000244926	11	ALKBH3-AS1	antisense	43909292	43920944
ENSG00000238104	CHR_HSCHR6_MHC_SSTO_CTG1	PPP1R10	protein_coding	30592623	30610835
ENSG00000232641	CHR_HSCHR6_MHC_MCF_CTG1	MOG	protein_coding	29656787	29672153
ENSG00000274679	CHR_HSCHR21_5_CTG2	SPATC1L	protein_coding	46161526	46186787
ENSG00000275720	17	AC243830.2	lincRNA	36634069	36634698
ENSG00000188997	11	KCTD21	protein_coding	78171249	78188626
ENSG00000276508	17	AC243830.3	lincRNA	36684754	36685129
ENSG00000275613	17	AC243830.1	lincRNA	36722583	36726340
ENSG00000134852	4	CLOCK	protein_coding	55427903	55546909
ENSG00000277268	17	LHX1-DT	antisense	36861674	36936661
ENSG00000226683	13	PWWP2AP1	processed_pseudogene	80654755	80657027
ENSG00000166199	11	ALKBH3	protein_coding	43880811	43920274
ENSG00000231222	13	ARF4P4	processed_pseudogene	80888348	80888867
ENSG00000271367	6	AL034374.1	lincRNA	53350158	53350705
ENSG00000223565	10	AC069540.1	processed_pseudogene	83735506	83736493
ENSG00000279706	9	AL353608.4	TEC	68250469	68251656
ENSG00000233258	10	AL390786.1	lincRNA	83911654	83912922
ENSG00000219863	6	RPL31P28	processed_pseudogene	53354715	53355065
ENSG00000260385	13	AL356961.1	lincRNA	112083549	112085471
ENSG00000229246	13	LINC00377	lincRNA	81043670	81044442
ENSG00000149476	11	TKFC	protein_coding	61333210	61353295
ENSG00000212769	10	HMGN2P8	processed_pseudogene	84081429	84081995
ENSG00000218049	6	RPL31P33	processed_pseudogene	53368670	53369009
ENSG00000270415	13	DPPA3P3	processed_pseudogene	81114866	81115295
ENSG00000218261	6	AL591034.1	processed_pseudogene	53378503	53378861
ENSG00000170948	19	MBD3L1	protein_coding	8832398	8843340
ENSG00000275624	CHR_HSCHR12_3_CTG2	PRB3	protein_coding	11262181	11266062
ENSG00000260094	13	LINC00564	lincRNA	81225865	81226983
ENSG00000254554	11	AC080023.1	antisense	10302657	10303704
ENSG00000128272	22	ATF4	protein_coding	39519695	39522685
ENSG00000237148	13	HIGD1AP2	processed_pseudogene	81272891	81273170
ENSG00000271338	6	AL591034.2	processed_pseudogene	53381519	53382203
ENSG00000229309	13	AL353633.1	lincRNA	81250438	81302407
ENSG00000276005	CHR_HSCHR15_1_CTG8	AC138749.6	transcribed_unprocessed_pseudogene	28601112	28602743
ENSG00000261294	16	AC120498.6	antisense	1206560	1207124
ENSG00000225806	20	AL121917.1	antisense	58863528	58888809
ENSG00000269400	19	AC008734.2	sense_intronic	8833065	8833541
ENSG00000116176	16	TPSG1	protein_coding	1221651	1225257
ENSG00000276707	17	AC243773.1	antisense	36940049	36943456
ENSG00000165678	10	GHITM	protein_coding	84139509	84153568
ENSG00000273706	17	LHX1	protein_coding	36936785	36944612
ENSG00000280807	CHR_HSCHR15_2_CTG3	TUBGCP5	protein_coding	23036897	23039673
ENSG00000253270	8	AC090541.1	lincRNA	19678572	19688934
ENSG00000173535	8	TNFRSF10C	protein_coding	23102590	23117437
ENSG00000147408	8	CSGALNACT1	protein_coding	19404161	19758029
ENSG00000270824	15	IGHD5OR15-5B	IG_D_gene	21010494	21010516
ENSG00000237438	22	CECR7	transcribed_unprocessed_pseudogene	17036570	17060825
ENSG00000164924	8	YWHAZ	protein_coding	100916523	100953388
ENSG00000277010	16	AC120498.10	antisense	1223639	1224143
ENSG00000262860	CHR_HSCHR19_1_CTG3_1	LSM14A	protein_coding	34172447	34229322
ENSG00000229520	13	LINC00404	lincRNA	112106095	112106882
ENSG00000196557	16	CACNA1H	protein_coding	1153106	1221771
ENSG00000235342	CHR_HSCHR6_MHC_COX_CTG1	RPL7P4	processed_pseudogene	30686667	30687396
ENSG00000224243	13	SOX1-OT	lincRNA	112107119	112108015
ENSG00000277069	CHR_HSCHR5_6_CTG1	RXFP3	protein_coding	33938372	33940223
ENSG00000051128	19	HOMER3	protein_coding	18929201	18941261
ENSG00000260102	13	LINC01070	lincRNA	112197350	112201000
ENSG00000277571	CHR_HSCHR19_5_CTG2	ELANE	protein_coding	851006	856290
ENSG00000250351	5	AC233724.8	processed_pseudogene	17620533	17620939
